crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
Rice,Silty,97,45,34.16,62.65,4.03,2.94,21.36,2.25,28.44,16.04,27.3,2.983,0.818,61.66,0.65,177.17,3,0.367,0,0
Tomato,Clayey,33,102,31.12,53.32,1.48,0.59,22.03,4.61,44.76,24.39,40.54,2.103,0.885,74.75,0.703,153.18,10,0.531,0,0
Wheat,Sandy,90,48,17.01,38.56,2.98,2.09,10.67,4.68,22.48,8.46,12.71,2,0.61,78.89,0.633,152.06,2,0.347,1,308.6159
Wheat,Sandy,92,50,32.53,48.7,0.62,0.54,13.13,1.69,25.73,10.84,20.14,2.513,0.588,66.2,0.929,115.34,4,0.591,0,0
Maize,Sandy,44,81,19.13,93.4,12.68,9.69,28.9,2.27,21.83,12.56,21.83,2,1.014,74.23,1.118,110.12,10,0.419,0,0
Maize,Loamy,43,300,20.44,52.55,4.77,2.01,26.17,4.85,31.6,16.76,25.95,2.473,1.005,73.7,0.403,135.74,9,0.372,1,131.2469
Maize,Loamy,31,59,24.08,57.23,4.67,4.47,9.12,2.93,37.95,18.42,21.7,2.305,0.903,68.44,0.559,88.13,9,0.371,1,580.773
Tomato,Loamy,117,161,22.24,30.42,0.5,0.44,18.62,2.44,36.07,19.65,27.1,2.363,0.63,78.25,0.498,121.89,7,0.515,1,218.2637
Rice,Clayey,65,103,22.4,76.76,0.05,0.03,17.26,1.38,36.25,22.84,25.01,2.484,1.109,80.31,1.145,133.2,10,0.312,1,634.2832
Tomato,Sandy,84,334,18.89,56.88,2.64,1.89,16.09,2.23,21.17,8.95,11.65,3.068,0.824,62.63,0.835,155.02,8,0.398,1,518.3301
Wheat,Silty,76,274,21.76,36.7,0.47,0.22,16.77,3.34,30.06,12.14,24.92,2,0.764,64.65,0.429,137.17,7,0.426,0,0
Maize,Clayey,17,183,15.45,92.96,4.55,2.76,21.07,0.67,40.01,18.07,33.8,2,0.637,88.71,0.658,119,1,0.346,0,0
Rice,Clayey,15,116,25.88,80.53,1.61,0.69,29.18,0.87,41.02,20.18,25.64,2.469,0.736,61.18,0.726,82.79,10,0.447,1,750.553
Wheat,Clayey,34,362,32.68,77.2,1.24,0.92,26.88,0.52,35.83,23.47,27.3,2.941,0.922,63.26,0.861,150.84,4,0.572,0,0
Wheat,Silty,114,267,34.83,92.26,0.23,0.1,26.88,1.49,28.9,14.66,19.34,3.126,0.45,84.38,0.494,156.78,7,0.316,1,242.5121
Wheat,Sandy,80,164,33.87,56.49,16.61,15.6,22.58,1.32,23.74,8.59,21.22,2.374,0.72,84.27,0.752,165.42,7,0.441,0,0
Tomato,Loamy,4,143,24.58,76.7,9.37,5.98,5.44,4.33,34.6,18.33,27.74,2.126,0.384,88.63,1.021,99.81,6,0.448,1,52.1711
Maize,Sandy,72,318,31.8,43.4,0.42,0.39,16.01,1.33,29.03,13.35,14.68,2.244,1.018,85.98,0.894,130.48,1,0.41,1,645.6312
Wheat,Sandy,98,304,21.62,75.31,1.21,0.84,17.78,3.48,20.79,9.16,16.14,2.157,0.522,66.49,0.394,126.04,6,0.533,0,0
Maize,Clayey,110,94,16.28,30.92,1.49,0.75,26.06,1.03,35.45,18.84,25.27,2,0.6,80.42,1.121,156.08,1,0.32,1,546.2451
Tomato,Clayey,89,250,30.55,38.21,1.06,0.59,28.07,3.17,39.81,19.54,24.73,3.067,0.786,65.94,0.605,130.3,7,0.302,1,475.932
Wheat,Clayey,79,343,29.92,57.64,8.18,5.99,16.29,2.46,41.48,18.23,30.46,2.664,0.731,84.73,0.682,159.78,5,0.494,0,0
Tomato,Loamy,28,306,33.44,30.79,3.83,1.79,12.51,2.34,38.57,18.39,30.92,2,0.847,75.67,0.923,88.29,3,0.518,0,0
Tomato,Loamy,73,316,29.17,60.03,9.37,4.75,13.43,4.35,39.69,19.76,22.79,3.108,0.91,73.91,0.715,85.37,3,0.421,1,604.1713
Maize,Loamy,2,240,18.61,63.98,6.23,5.94,19.47,1.25,36.93,15.79,26.12,2,0.34,75.02,0.829,106.67,8,0.537,0,0
Wheat,Sandy,17,59,34.62,70.4,4.21,2.15,11.87,3.18,22.22,9.94,15.46,3.811,0.726,60.73,0.73,127.43,9,0.584,1,301.9135
Tomato,Clayey,58,15,29.43,36.53,3.58,2.61,27.77,4.2,39.27,22,32.63,3.198,1.027,81.49,0.577,155.12,6,0.412,1,207.0885
Wheat,Silty,74,285,33.58,41.77,6.03,4.21,15.47,3.71,31.83,12.45,16.36,3.321,0.786,65.02,0.697,116.55,3,0.355,1,659.5091
Maize,Sandy,9,203,32.8,69.86,3.46,1.38,29.75,4.93,26.11,8.41,11.86,3.095,0.478,64.11,0.58,154.11,5,0.31,1,531.1434
Tomato,Loamy,31,237,21.85,72.78,0.63,0.49,7.74,0.51,38.27,15.2,35.35,2,0.87,69.03,0.704,163.14,2,0.425,0,0
Maize,Silty,66,296,16.71,31.68,3.13,2.53,9.7,4.48,28.9,14.52,28.69,2,1.084,74.69,0.482,130.26,2,0.562,0,0
Wheat,Silty,88,287,19.06,65.12,2.17,1.11,17.79,3.26,30.7,12.57,19.67,2.642,0.632,75.28,0.355,175.81,5,0.515,1,230.1136
Wheat,Clayey,62,73,17.14,81.02,12.03,8.17,26.71,0.51,44.33,20.68,44.33,2.246,0.918,79.71,0.929,95.22,2,0.558,0,0
Maize,Silty,19,214,20.6,34.49,2.14,2.04,13.85,2.59,28.96,13.46,23.5,2.094,0.677,61.97,0.413,109.56,3,0.313,1,156.0522
Rice,Loamy,81,11,25.57,56.86,0.12,0.12,25.94,3.95,37.81,15.04,30.62,2.563,0.964,70.16,1.04,179.76,1,0.536,0,0
Tomato,Clayey,107,337,35.86,51.22,0.92,0.86,15.64,1.32,36.06,21.3,35.25,2.889,0.63,67.34,0.628,96.68,8,0.548,0,0
Wheat,Silty,113,225,35.06,89.39,7.48,3.31,26.32,3.55,34.68,12.21,20.53,2.855,0.45,72.09,0.524,171.13,9,0.372,1,455.3449
Wheat,Clayey,74,318,31.53,42.08,9.84,9.57,11.94,1.13,35.62,23,30.54,2,0.786,75.27,0.669,172.02,10,0.531,0,0
Tomato,Silty,114,203,15.55,50.69,3.91,3.75,16.8,4.12,32.35,17.38,23.41,2,0.63,85.48,0.435,143.94,4,0.578,1,169.0891
Maize,Sandy,55,231,22.85,88.4,0.18,0.1,11.97,3.06,25.77,10.82,14.71,2.315,1.107,85.81,1.064,84.9,4,0.38,1,569.5686
Maize,Sandy,28,51,30.69,51.49,0.07,0.05,10.38,0.65,24.51,11.02,22.33,2.502,0.855,76.05,0.45,130.94,10,0.361,0,0
Maize,Loamy,102,57,17.97,64.54,1.96,1.25,15.53,0.91,39.74,16.9,36.97,2,0.688,83.58,0.744,86.92,10,0.499,1,17.7176
Rice,Sandy,112,132,33.43,32.15,24.07,21.13,13.37,4.39,20.96,10.03,20.51,3,0.63,72.11,0.446,113.15,1,0.563,0,0
Rice,Sandy,92,280,36.04,94.02,6.1,5.97,24.68,0.65,29.6,11,27.41,2.792,0.864,89.64,0.341,81.73,9,0.46,0,0
Wheat,Sandy,114,297,23.14,83.62,8.11,4.65,23.69,1.84,23.16,10.18,20.67,2.243,0.45,63.79,1.018,84.59,1,0.423,0,0
Maize,Silty,116,305,31.23,71.24,2.93,2.91,13.96,3.05,25.09,15.8,19.45,2,0.54,64.29,0.802,149.72,2,0.405,1,309.0419
Tomato,Silty,50,225,18.41,33.95,5.88,5.85,29.81,1.46,32.24,14.12,22.74,2.303,1.012,68.8,0.37,178.22,1,0.454,1,212.2391
Wheat,Clayey,65,174,30.89,34.87,1.16,0.8,29.35,1.51,43.73,23.2,35.15,2.567,0.885,63.12,1.104,158.26,6,0.582,1,65.1664
Tomato,Silty,3,292,15.49,65.42,0.08,0.07,27.95,3.99,31.01,16.22,27.03,2.059,0.363,60.17,0.653,119.6,8,0.382,0,0
Wheat,Sandy,79,266,18.47,48.53,7.51,4.88,19.66,1.81,27.69,11.69,18.69,2.164,0.731,69.8,0.683,113.74,6,0.399,1,355.4474
Rice,Silty,52,247,31.33,70.48,0.74,0.62,15.31,0.67,28.98,12.75,16.32,3.46,1.176,61.39,0.745,179.39,6,0.398,1,617.6711
Wheat,Loamy,10,78,31.37,68.88,3.91,2.79,12.83,3.75,34.05,17.75,21.61,2.026,0.53,77.47,0.502,103.18,7,0.579,1,333.008
Rice,Clayey,21,135,29.75,84.51,3.23,2.68,5.38,4.79,44.48,19.08,21.48,2.485,0.87,85.06,0.796,83.87,9,0.507,1,1001.6859
Wheat,Clayey,37,140,25.98,48.29,0.52,0.24,20.8,4.24,42.57,19.68,24.46,3.483,0.946,65.47,0.525,106.12,5,0.322,1,546.5374
Maize,Silty,15,342,30.52,67.56,0.65,0.32,18.83,2.97,34.57,15.57,25.25,2,0.597,78.03,1.052,114.17,10,0.436,1,568.972
Tomato,Sandy,87,253,32.8,80.53,1.2,0.6,20.75,2.41,24.33,10.43,17.26,2.934,0.801,67.25,1.044,128.8,2,0.431,1,436.9451
Maize,Clayey,78,176,37.23,61.9,4.24,4.01,19.4,4.66,37.02,23,23.44,2.845,0.952,75.89,0.729,149.78,2,0.455,1,607.0979
Wheat,Loamy,79,60,35.44,83.99,0.12,0.1,8.44,3.95,36.36,19.45,30.15,2.225,0.731,76.04,0.779,145.61,3,0.387,1,295.8855
Wheat,Loamy,74,352,33.27,38.53,1.57,1.1,22.38,3.07,35.97,15.85,23.83,2.4,0.786,61.55,1.194,142.86,3,0.599,1,1051.5759
Wheat,Clayey,120,254,30.98,77.7,3.28,1.47,14.01,4.46,41.83,24.15,35.27,2.203,0.45,87.9,1.016,168.81,8,0.404,0,0
Rice,Sandy,9,8,28.21,91.29,0.56,0.41,17.91,3.21,29.9,12.8,19.09,3.061,0.602,65.33,0.357,138.06,6,0.391,1,225.7253
Tomato,Sandy,44,107,17.77,51.57,0.38,0.19,14.14,4.88,22.9,11.96,14.81,2,0.967,77.28,0.455,97.59,3,0.447,1,198.0286
Tomato,Silty,39,171,18.81,53.81,1.48,0.81,5.55,4.36,30.15,15.07,22.62,2,0.93,73.74,0.836,116.1,4,0.506,0,0
Wheat,Silty,5,58,33.87,35.43,1.01,0.99,26.91,2.98,25.79,13.17,21.66,3.969,0.39,84.13,0.635,147.24,6,0.372,0,0
Wheat,Clayey,25,337,33.48,71.7,3.14,2.63,8.72,4.65,40.24,23.59,29.96,2.739,0.85,71.3,1.024,132.52,6,0.504,1,605.5418
Rice,Silty,56,342,29.13,65.91,10.48,4.86,19.55,2.04,26.82,12.99,22.56,2,1.191,81.89,0.877,137.89,6,0.382,1,31.279
Maize,Silty,106,290,25.09,32.62,0.01,0.01,27.08,3.65,32.6,16.14,24.56,2.872,0.644,83.23,1.192,109.83,2,0.498,1,503.4909
Maize,Silty,90,84,15.6,78.89,6.98,5.37,10.53,1.27,29.85,12.3,29.15,2,0.82,64.96,0.312,108.82,6,0.412,0,0
Tomato,Loamy,64,117,22.53,83.9,1.7,1,15.3,4.53,34.73,19.17,34.43,3.107,0.98,80.19,0.695,125.04,9,0.477,0,0
Rice,Silty,72,200,24.67,88.96,3.27,2.13,14.44,1.62,25.11,12.62,18.82,2.314,1.045,73.1,0.667,83.39,8,0.395,1,249.5927
Wheat,Clayey,86,22,26.17,65.47,5.71,3.35,7.23,4.77,43.09,21.68,25.2,2,0.654,88.65,0.691,123.27,6,0.364,1,604.7225
Tomato,Sandy,52,219,36.37,59.42,2.56,1.97,15.59,0.58,26.62,13.22,14.03,2.171,1.027,89.64,1.097,129.1,6,0.41,1,617.8695
Rice,Silty,89,226,17.5,86.95,0.31,0.2,16.99,3.57,28,13.79,16.2,2,0.891,81.02,0.665,86.02,8,0.523,1,408.0377
Maize,Sandy,112,271,26.93,55.92,0.45,0.28,5.66,1.18,22.64,9.17,20.99,2,0.54,76.91,1.017,83.28,10,0.533,1,13.4475
Rice,Silty,76,102,23.46,72.6,4.67,4.35,17.2,3.97,28.05,17.72,28.05,2,1.009,69.53,0.869,80.9,6,0.499,0,0
Maize,Clayey,9,145,37.77,70,0.78,0.36,7.35,2.71,35.86,19.68,28.93,2.46,0.478,67.88,0.739,116.18,1,0.453,1,293.6306
Rice,Loamy,10,147,34.82,54.19,2.53,1.77,27.31,4.59,33.18,15.77,27.98,3.631,0.624,74.37,0.924,129.83,4,0.567,0,0
Tomato,Clayey,112,261,25.09,35.65,1.68,1,21.25,3.72,35.77,19.13,31.22,2.877,0.63,76.06,0.506,97.28,3,0.412,0,0
Maize,Loamy,10,279,37.99,31.39,1.09,0.45,6.41,3.96,35.28,17.98,20.45,2.855,0.498,76.36,0.428,169.56,10,0.333,0,0
Tomato,Silty,73,339,26.82,57.84,4.64,2.52,25.68,1.04,27.15,15.02,18.58,2.051,0.91,84.26,1.17,138.33,9,0.359,1,473.637
Tomato,Silty,62,14,18.84,61.28,3.94,2.73,14.04,0.93,25.06,15.61,22.6,2,0.996,85.29,0.652,139.76,5,0.569,0,0
Maize,Loamy,90,266,27.79,83.47,3.12,2.44,10.64,4.33,30.01,18.21,21.95,2,0.82,70.61,0.573,86.58,5,0.571,1,259.401
Maize,Clayey,99,287,20.2,56.94,1.4,1.24,11.35,1.52,39.83,18.76,29.92,2,0.721,75.34,0.539,88.03,5,0.387,1,294.9406
Wheat,Clayey,91,141,29.64,48.28,0.77,0.69,19.94,4.4,35.88,18.05,20.27,2.607,0.599,82.72,0.86,130.47,8,0.504,1,689.4595
Wheat,Loamy,60,293,36.56,60.04,2.18,1.77,7.04,1.14,35.52,19.03,33.6,2,0.94,86.16,1.197,156.25,9,0.477,0,0
Wheat,Silty,95,31,33.08,45.47,5.1,3.57,6.47,1.89,33.57,15.42,21.36,2.644,0.555,64.5,1.105,163.87,6,0.362,1,869.7562
Tomato,Loamy,19,171,21.28,35.94,2.57,1.75,20.69,4.68,38.87,19.31,24.7,2.039,0.699,82.41,0.66,134.11,2,0.302,1,480.9425
Tomato,Silty,107,355,21.83,37.35,10.53,9.77,29.55,4.28,31.98,14.18,30.17,3.336,0.63,87.58,1.106,138.92,5,0.521,0,0
Wheat,Loamy,38,205,16.59,50.75,0.05,0.04,17.09,0.74,38.27,16.96,25.23,2,0.954,67.53,0.711,141.44,8,0.532,1,599.4602
Tomato,Silty,6,291,21.57,30.82,19.22,9.71,15.33,2.52,29.03,16.07,25.85,2,0.426,74.67,0.398,111.04,10,0.347,0,0
Tomato,Loamy,15,111,17.13,44.31,3.53,2.35,28.68,4.59,39.28,17.5,32.05,2.4,0.615,60.09,0.469,177.54,6,0.359,0,0
Maize,Sandy,93,68,26.49,81.19,5.36,4.72,11.02,0.57,21.77,9,18.59,2,0.787,84.67,0.519,177.58,10,0.306,0,0
Maize,Silty,47,183,31.29,45.25,1.22,0.96,11.01,0.98,28.02,14.75,20.17,2,1.039,85.28,1.126,142.48,3,0.382,1,388.1074
Tomato,Clayey,45,196,32.28,37.2,2.13,1.29,27.63,3.4,37.98,22.98,32.76,2.726,0.975,87.41,1.181,117.88,4,0.587,0,0
Wheat,Loamy,118,126,16.37,91.69,4.78,3.14,21.17,0.97,35.43,17.03,32.03,2.058,0.45,81.91,0.504,164.96,6,0.474,0,0
Rice,Clayey,5,175,22.82,70.46,4.29,4.19,6.34,2.52,37.13,22.24,34.45,2.387,0.512,70.17,0.663,97.53,2,0.358,0,0
Wheat,Loamy,78,262,21.63,33.9,1.22,1.05,21.85,2.79,36.74,18.92,36.74,2.48,0.742,65.43,1.183,140.36,2,0.56,0,0
Rice,Clayey,53,286,17.4,34.05,1.18,0.9,25.5,4.37,44.91,19.62,40.93,2,1.184,70.14,1.062,158.92,4,0.485,0,0
Wheat,Clayey,66,155,23.34,69.79,3.26,3.23,11.85,4.81,35.15,21.5,30.18,2,0.874,66.83,0.699,80.41,3,0.471,0,0
Maize,Loamy,62,69,21.88,65.11,8.14,7.07,14.57,2.81,39.24,16.24,33.29,2,1.128,63.25,0.707,123.18,1,0.509,0,0
Tomato,Loamy,23,108,29.59,34.44,1.73,0.92,9.94,2.8,37.56,16.6,28.48,2.471,0.783,73.98,1.091,106.19,5,0.303,1,552.5138
Tomato,Clayey,44,35,35.32,44.58,1.31,0.72,20.83,3.77,38.91,24.63,30.83,2.869,0.967,66.13,0.326,159.83,1,0.484,1,137.0148
Maize,Clayey,52,359,25.46,90.39,6.75,5.82,21.6,1.37,39.61,23.08,39.61,2.802,1.082,61.95,1.138,172.36,9,0.383,0,0
Rice,Clayey,46,44,32.17,67.18,3.45,1.52,6.71,4.73,40.5,23.35,30.83,3.375,1.128,76.68,0.38,97.32,4,0.42,1,216.1443
Rice,Silty,19,143,18.36,58.62,1.47,1.46,21.94,0.51,28.17,17.26,21.05,2,0.826,77.08,1.111,97.97,6,0.416,1,387.6884
Rice,Silty,88,211,35.58,46.26,0.18,0.15,21.46,0.51,30.49,13.85,20.47,3.488,0.9,75.24,0.358,176.19,8,0.484,1,183.7274
Maize,Sandy,84,285,18.51,38.69,3.83,1.88,5.88,3.32,20.38,8.09,14.75,2,0.886,65.27,1.172,131.2,9,0.449,0,0
Rice,Silty,47,6,19.42,56.17,1.31,1.27,18.88,2.04,28.53,13.29,22.83,2.167,1.136,72.54,0.308,89.78,1,0.426,1,14.5912
Maize,Silty,91,218,17.45,89.95,0.22,0.21,20.35,2.29,25.53,15.32,22.64,2.686,0.809,81.09,1.168,87.61,3,0.446,0,0
Wheat,Loamy,52,27,22.12,33.17,2.84,1.17,15.75,1.5,39.89,17.11,20.29,2,1.028,81.61,0.356,176.43,1,0.452,1,393.0088
Wheat,Sandy,24,227,27.71,94.41,1.17,0.71,27.53,2.34,25.52,9.54,13.88,3.145,0.842,78.04,0.413,123.2,4,0.481,1,249.2242
Maize,Sandy,17,284,37.72,43.51,1.24,0.57,13.21,4.23,22.05,10.3,11.28,3.153,0.637,84.99,1.167,174.22,7,0.582,1,625.7303
Tomato,Silty,89,56,33.25,56.57,1.96,0.95,6.68,3.65,33.35,17.76,20.57,2.862,0.786,78.52,1.013,137.69,6,0.436,0,0
Wheat,Loamy,46,310,23.75,32.93,3.79,3.23,21.8,0.93,37.4,15.1,31.91,2.296,1.018,61.77,1.056,152.22,4,0.48,0,0
Rice,Loamy,64,336,28.24,68.01,0.97,0.51,20.13,0.76,34.38,17.1,19.36,2.469,1.118,83.1,0.688,107.9,4,0.415,1,434.575
Maize,Sandy,119,105,29.34,61.43,0.25,0.14,29.73,2.78,29.35,13.22,22.86,2.508,0.54,71.56,0.372,86.75,7,0.403,1,148.8982
Rice,Loamy,95,18,33.92,73.34,1.66,0.73,10.78,3.79,37.14,17.82,20.56,3.218,0.836,66.62,0.434,158.62,10,0.318,1,442.8847
Rice,Clayey,28,205,31.94,65.27,0.17,0.13,14.89,3.49,41.46,22.89,28.48,2.936,0.984,61.05,1.131,96.83,8,0.567,1,1043.6677
Tomato,Silty,50,43,28.09,55.88,3.58,2.36,16.53,4.39,30.53,17.07,23.62,2.975,1.012,69.72,0.646,151.63,2,0.55,1,259.7337
Rice,Clayey,64,89,30.39,77.95,9.6,8.68,26.54,1.1,35.37,24.59,35.37,2.052,1.118,78.34,0.98,87.55,3,0.312,0,0
Tomato,Sandy,28,74,32.16,31.63,3.23,3.09,15.36,3.23,27.74,11.7,21.3,2.469,0.847,85.59,0.921,137.53,10,0.526,0,0
Wheat,Sandy,86,157,18.06,65.17,0.97,0.46,24.3,3.95,28.6,13.8,23.9,2.044,0.654,69.38,0.726,155.32,6,0.584,0,0
Maize,Loamy,56,266,19.61,37.4,0.6,0.52,8.92,4.72,34.19,19.2,23.81,2,1.116,75.22,1.075,81.92,1,0.377,1,585.2731
Rice,Loamy,59,134,30.84,58.34,0.79,0.33,15.24,0.95,31.88,17.35,21.76,3.208,1.164,64.7,0.889,118.84,6,0.318,0,0
Maize,Sandy,5,89,34.56,81.42,0.75,0.64,8.87,1.58,22.32,8.87,15.43,2.238,0.399,73.52,0.966,138.84,1,0.599,1,48.6495
Rice,Sandy,54,236,24.41,39.26,1.13,0.65,28.74,2.1,28.95,10.57,17.26,2.657,1.192,68.52,1.053,159.83,9,0.372,1,789.668
Maize,Clayey,44,132,37.54,90.83,0.31,0.26,9.44,2.93,41.84,20.63,22.9,3.076,1.014,64.38,0.5,105.8,4,0.488,1,645.0821
Rice,Clayey,42,229,19.97,87.75,6.78,6.2,15.48,2.34,40.44,20.44,27.45,2.16,1.096,74.7,0.564,161.62,8,0.363,1,444.9624
Rice,Loamy,72,34,24.58,56.97,6.49,5.59,7.06,4.38,37.43,18.93,25.79,2.05,1.045,88.54,0.98,144.79,2,0.429,1,538.7403
Rice,Clayey,102,83,23.71,30.39,2.87,1.49,28.03,4.78,39.31,24.02,29.06,3.288,0.773,78.33,1.046,114.68,6,0.595,1,470.8304
Rice,Loamy,92,132,36.4,81.33,0.19,0.11,20.6,0.82,33.55,18.81,26.95,3.032,0.864,81.54,0.838,109.96,7,0.35,1,267.3065
Rice,Loamy,57,354,21.56,87.26,4.89,3.04,29.06,3.65,36.5,17.28,26.88,2.83,1.182,66.62,1.194,150.2,4,0.461,1,662.4268
Rice,Silty,47,204,25.83,41.36,0.19,0.11,6.06,1.01,33.89,15.43,29.03,2,1.136,72.84,1.09,152.41,4,0.377,0,0
Rice,Loamy,76,287,19.31,89.55,0.34,0.23,9.37,4.54,38.4,18.67,27.45,2,1.009,86.2,1.02,143.71,6,0.539,1,498.4297
Rice,Clayey,25,336,26.99,89.42,1.18,0.85,14.5,1.14,40.33,20.28,32.61,2.067,0.96,72.93,0.521,124.41,4,0.505,0,0
Rice,Sandy,102,316,34.72,60.63,1.69,0.81,20.53,4.96,29.51,8.4,14.39,2.969,0.773,69.25,0.6,82.2,9,0.397,1,582.3314
Maize,Sandy,44,258,21.99,81.87,1.31,0.54,13.24,2.42,28.94,11.54,23.95,2.472,1.014,64.75,0.625,137.4,9,0.458,0,0
Tomato,Clayey,15,292,33.65,58.92,0.54,0.35,22.8,2.22,42.49,20.34,34.42,2.958,0.615,77.46,0.384,141.22,10,0.504,0,0
Rice,Sandy,108,125,35.96,66.66,0.36,0.33,9.13,3.14,23.84,9.34,14.52,3.67,0.718,62.13,0.958,104.02,5,0.439,1,536.1017
Tomato,Loamy,105,151,16.68,50.79,5.89,5.25,20.02,2.27,39.54,15.22,35.51,2,0.63,65.64,0.671,100.32,3,0.325,0,0
Rice,Sandy,51,359,32.4,40.37,1.35,1.28,14.95,1.56,23.87,10.34,20.23,2.212,1.168,66.07,0.859,166.43,2,0.403,0,0
Rice,Clayey,53,247,20.87,78.52,0.74,0.56,17.71,3.33,43.13,21.51,32.95,2,1.184,61.14,0.939,97.99,6,0.357,1,613.592
Maize,Sandy,34,175,19.03,30.09,2,1.67,19.24,3.78,21.69,11.56,15.66,2,0.929,62.81,0.308,100.98,4,0.407,1,120.1969
Wheat,Loamy,109,357,28.83,67.67,0.11,0.09,6.5,4.75,32.36,15.09,18.47,2,0.45,72.72,0.343,142.28,4,0.399,1,250.8719
Wheat,Loamy,77,302,31.23,86.2,2.75,1.89,28.1,2.34,35.45,16.8,23.51,3.521,0.753,60.23,0.602,111.91,9,0.586,1,517.1273
Maize,Clayey,8,80,24.08,44.38,0.86,0.46,24.65,3.68,37.39,19.21,21.86,3.158,0.459,73.88,0.89,124.11,10,0.478,1,750.7758
Tomato,Clayey,77,107,15.9,51.64,2.74,1.24,16.06,4.25,39.54,24.09,29.26,2.895,0.879,89.07,0.73,133.01,5,0.502,1,302.6011
Wheat,Clayey,100,300,35.9,68.19,2.86,2.45,18.69,4.24,42.58,18.03,36.99,2.805,0.5,73.66,1.145,173.1,3,0.418,0,0
Maize,Silty,70,305,31.81,46.05,4.97,4.57,5.81,0.65,32.31,12.44,18.18,2,1.04,84.33,0.531,106.05,10,0.408,1,357.1862
Maize,Silty,102,344,21.25,85.09,0.78,0.45,17.45,2.1,30.48,16.68,25.74,2.476,0.688,60.08,0.393,84.45,4,0.533,0,0
Wheat,Loamy,96,58,26.43,53.83,1.87,1.6,15.66,0.56,34.53,16.88,22.63,2,0.544,82.3,0.403,91.58,6,0.484,1,254.4706
Tomato,Silty,21,91,15.64,67.8,9.8,8.98,14.36,3.02,34.39,12.18,34.39,2,0.741,73.79,0.503,85.16,5,0.553,0,0
Maize,Silty,108,135,22.8,44.7,3.9,3.76,25.38,4.39,26.06,17.22,25.5,3.601,0.622,68.78,0.513,155.41,10,0.506,0,0
Rice,Sandy,108,350,27.02,32.69,11.11,5.57,9.55,4.17,28.86,10.61,16.17,2.527,0.718,60.11,0.641,178.09,10,0.498,1,526.3643
Tomato,Silty,113,169,26.9,41.29,7.87,4.51,9.41,4.15,30.4,12.99,26.31,2.186,0.63,77.62,0.808,88.02,8,0.449,0,0
Tomato,Sandy,7,334,19.79,33,2.83,1.85,18.04,2.08,28.84,11.28,19.44,2,0.447,83.29,0.524,108.45,10,0.505,1,225.4443
Wheat,Clayey,90,122,32.87,60.46,0.92,0.43,22.18,0.71,40.64,18.83,32.35,2.908,0.61,65.1,0.764,165.38,9,0.473,0,0
Wheat,Sandy,79,236,21.87,68.13,4.24,2.24,5.56,1.28,26.15,12.87,14.12,2,0.731,83.6,0.73,169.75,3,0.435,1,369.4033
Rice,Sandy,56,76,28.35,32.9,3.59,1.54,18.65,3.52,22.95,14.27,20.41,2.543,1.191,86.11,0.578,101.63,6,0.448,0,0
Maize,Clayey,49,309,21.25,35.88,2.67,2.23,12.47,1.1,37.04,24.28,30.7,2,1.056,82.63,0.691,171.89,2,0.541,0,0
Wheat,Clayey,42,23,24.78,61.56,3.59,2.65,23.92,1.06,42.03,23.82,39.8,2.8,0.986,84.3,0.645,137.79,9,0.563,0,0
Wheat,Loamy,23,333,19.77,81.95,2.85,2.16,16.72,2.09,36.99,17.14,30.87,2,0.834,79.97,1.155,179.5,6,0.483,0,0
Tomato,Loamy,52,73,29.56,70.82,2.2,1.89,25.85,0.93,33.32,18.67,33.31,2.123,1.027,83.71,0.362,82.25,1,0.58,0,0
Wheat,Loamy,102,88,24.79,36.81,1.61,0.73,14.92,1.98,32.98,15.31,25.64,2.121,0.45,86.01,0.99,158.59,8,0.424,1,376.8749
Wheat,Loamy,105,103,15.37,87.69,0.14,0.06,25.68,4.86,32.47,18.78,20.08,2,0.45,75.78,0.578,85.53,4,0.589,1,364.989
Wheat,Sandy,79,94,15.65,89.63,6.02,2.5,22.91,0.59,27.93,9.94,16.16,2.513,0.731,84.95,0.467,153.44,9,0.585,1,256.5483
Wheat,Sandy,112,316,25.84,51.12,6.02,2.93,25.71,4.24,23.28,11.85,21.54,3.532,0.45,83.7,1.084,174.4,7,0.53,0,0
Tomato,Loamy,53,266,19.21,70.04,2.7,1.8,25.31,4.97,32.62,18.03,24.25,2.432,1.035,65.84,0.723,112.68,2,0.384,1,388.9017
Rice,Silty,104,253,28.46,62,0.94,0.48,17.16,2.46,27.82,12.73,17.37,2.456,0.755,68.62,0.759,113.89,4,0.482,1,445.6517
Rice,Loamy,16,358,24.39,91.23,0.09,0.07,14.2,4.74,31.55,16.25,19.13,2.966,0.758,86.32,0.674,103.93,9,0.563,1,439.9503
Maize,Silty,96,58,30.05,63.07,0,0,24.13,1.68,26.68,17.85,17.85,2,0.754,71.89,0.664,123.13,5,0.561,1,335.5601
Wheat,Clayey,37,9,36.91,92.4,0.23,0.21,14.04,4.92,41.58,19.25,22.45,3.041,0.946,89.92,0.924,127.28,7,0.309,1,711.2219
